logp,mol_weight,hba,heavy_atoms,hbd,rotatable_bonds,smiles,tpsa,drug_like
0.92,239.27,3.0,17.0,5.0,4.0,CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1,92.78,1
2.37,302.35,2.0,22.0,3.0,7.0,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,64.35,1
5.69,482.82,3.0,33.0,4.0,5.0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,92.35,1
2.92,203.28,0.0,15.0,1.0,3.0,C/C=C/C(=O)N(CC)c1ccccc1C,20.31,1
-0.78,179.2,3.0,11.0,4.0,5.0,N[C@@H](CSCC(=O)O)C(=O)O,100.62000000000002,1
-1.86,347.22,5.0,23.0,10.0,4.0,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,186.07,1
3.66,487.51,1.0,35.0,6.0,6.0,CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21,83.16,1
5.19,530.46,1.0,36.0,8.0,9.0,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,82.88,1
2.98,212.25,1.0,16.0,1.0,3.0,O=C(O)Cc1ccc(-c2ccccc2)cc1,37.3,1
,4491.94,,319.0,,151.0,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,1902.889999999998,1
7.49906000000001,664.7990000000004,9.0,49.0,1.0,12.0,CCOC(=O)C(CC1=CC=C(C=C1)OCC2=NC3=C(N2C)C=C(C=C3)OCC4(CCC5=C(O4)C(=C(C(=C5C)O)C)C)C)OC6=CC=CC=C6,101.27,0
4.46,372.54,0.0,28.0,2.0,4.0,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,9.49,1
