smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,drug_like
CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)OCC(F)(F)F)NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N4CCC5=CC=CC=C54,694.1529999999999,6.500000000000006,1,6,113.08999999999999,10,46,0
CC(C(C(=O)N1CCCC1C(=O)N2CCCC2C(=O)N3CCCC3C(=O)NC(CO)C(=O)NCC(=O)O)NC(=O)C(CCCN=C(N)N)N)O,710.7899999999998,-5.116200000000013,9,11,316.41,16,50,0
CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C.C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,828.0060000000003,9.473899999999999,3,8,133.6,12,60,0
CC1(CC2CC(C1)(CN2CC3CC(OC(O3)C4=CC=C(C=C4)NC(=O)CCCCCCC(=O)NO)C5=CC=C(C=C5)CO)C)C,621.8190000000003,6.409400000000007,4,7,120.36000000000001,13,45,0
C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O,594.5250000000005,1.7254000000000018,7,13,216.57999999999996,7,43,0
C1=CC=C(C=C1)CC(C2=CC=CO2)N(CC3=CC=CC=C3)C(=O)CONC=C4C=C(C=CC4=O)Br,533.4220000000003,5.4150000000000045,1,5,71.78,10,35,0
CCCCN1C2=C(C=CC=N2)C(=C(C1=O)NC(=O)NC3=C(C=CC=C3C(C)C)C(C)C)C4=CC=CC(=C4)C#CCN5CCCC5,603.8109999999998,8.201700000000008,2,5,79.25999999999999,9,45,0
CCOC1=C(C=CC(=C1)C=NNC(=O)COC2=C(C=CC(=C2)C)C(C)C)OC(=O)C3=C(C=C(C=C3)Cl)Cl,543.4470000000002,6.572220000000005,1,6,86.22,10,37,0
CC1=CC=CN2C1=NC(=C2C)C(=C3C(N(C(=O)C3=O)C4=NN=C(S4)SCC5=CC=C(C=C5)Cl)C6=CC=CC=C6F)O,606.1040000000004,6.513740000000006,1,9,100.69,6,41,0
CCCCOC1=C(C=C(C=C1)C2C(=C(C3=C(N=C4N3C=CC=C4)C)O)C(=O)C(=O)N2C5=NC(=C(S5)C(=O)OCC=C)C)OCC,630.723,5.954340000000007,1,11,132.56,12,45,0
CNC1(CCCCC1=O)C2=CC=CC=C2Cl.CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.C1CCCN(CCC1)CCN=C(N)N,713.4549999999994,7.592300000000007,3,5,99.98,8,51,0
CC1=CC=C(C=C1)S(=O)(=O)NC(CC2=CC=CC=C2)C(=O)NCC3=CC=CC=C3C4=CC=C(C=C4)C5OC(CC(O5)C6=CC=C(C=C6)CO)CN7CCN(CC7)CC8=CC=CC=C8,865.1089999999996,7.72352000000001,3,8,120.44,16,63,0
CC1=C2C([N+]3=C(C(=NC4=CC=CC=C43)NC5=CC=CC(=C5)C(F)(F)F)N=C2N(N1)C6=CC=CC=N6)C7=CC=CO7,540.5290000000002,6.204500000000004,2,7,82.46,4,40,0
C1=CC=C(C=C1)C(=O)NN2C(=O)C(=CC3=CC(=C(C=C3)OCC4=CC=C(C=C4)Cl)Br)SC2=S,559.8940000000001,6.227700000000004,1,5,58.64,6,33,0
COC1=CC=C(C=C1)C23C(CC4C5C(CC=C4C2C6=C(C7=CC=CC=C7C=C6)O)C(=O)N(C5=O)C8=CC=C(C=C8)C=C)C(=O)N(C3=O)NC9=C(C=C(C=C9)Cl)Cl,784.696,8.693300000000006,2,7,116.25,7,56,0
CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)OC7C(C(C(C(O7)CO)O)O)O)C)O)C)C)O)OC8C(C(C(C(O8)CO)O)O)OC9C(C(CO9)(C)O)O)C,931.1230000000006,-0.4224999999999912,11,18,287.13999999999993,10,65,0
C1CC=CCC(C(=O)NC(COC(=O)C(C1)CC2=CC=CC=C2)CCCCNC(=O)OCC3=CC=CC=C3)CC(=O)N4CC5=CC=CC=C5CC4CO,723.9110000000001,6.052300000000008,3,7,134.27,12,53,0
CC1(C2CCC1(C(=NN=C3N(C(=O)C(=CC4=CC=C(O4)C5=CC(=CC=C5)[N+](=O)[O-])S3)C6=CC=C(C=C6)O)C2)C)C,556.6440000000001,7.239500000000007,1,8,121.54,5,40,0
CC1=C(C=CC(=C1)C(=C2C(N(C(=O)C2=O)C3=NC4=C(S3)C=C(C=C4)OC)C5=C(C=CC(=C5)OC)OC)O)OC,546.6010000000002,5.265420000000005,1,9,107.42000000000002,7,39,0
COC1=C(C=C(C=C1)Br)C=NNC(=O)CCCCCCC(=O)NN=CC2=C(C=CC(=C2)Br)OC,596.3200000000004,5.169800000000004,2,6,101.38,13,34,0
C1C(OC(OC1C2=CC=C(C=C2)CO)C3=CC(=CC=C3)NC(=O)C4=C(C(=C(C(=C4F)F)F)F)F)CSC5=NN=NN5C6=CC=C(C=C6)O,685.6309999999999,6.145700000000005,3,10,131.61999999999998,9,48,0
C1C(OC(OC1C2=CC=C(C=C2)CO)C3=CC=CC(=C3)C4=CC=CC(=C4)CNC(=O)CCCC(=O)O)CSC5=NC=NN5,602.7130000000002,5.172800000000004,4,8,146.66,13,43,0
CC1=CC=C(C=C1)NC(=O)C2=C(NC3=C(C2C4=C(C=CC(=C4)OC)OC)C(=O)CC(C3)C5=CC(=C(C=C5)OC)OC)C,568.6700000000003,6.0297200000000055,2,7,95.12,8,42,0
CC(C)C1=CC=CC=C1OC(=O)C2=CC=C(C=C2)NC3=C(C(=O)N(C3=O)C4=C(C(=CC=C4)Cl)Cl)Cl,529.8070000000001,6.771700000000003,1,5,75.71000000000001,6,35,0
